starmaster	PERSON	9dims	file
locust	PERSON	9dims	file
nostradameus	PERSON	9dims	file
starmaster	PERSON	9dims	file
ibm	ORG	666_ibm	file
ibm	ORG	666_ibm	file
fbi	ORG	666_ibm	file
mastercard	ORG	666_ibm	file
eurocheque	ORG	666_ibm	file
mastercard	ORG	666_ibm	file
ibm	ORG	666_ibm	file
citicorp	ORG	666_ibm	file
westminster	GPE	666_ibm	file
new york	GPE	666_ibm	file
cia	ORG	666_ibm	file
new york	GPE	666_ibm	file
zion	NORP	a-z-cons	file
jewish	NORP	a-z-cons	file
jews	NORP	a-z-cons	file
british	NORP	a-z-cons	file
ufo	EVENT	a-z-cons	file
ufo	EVENT	a-z-cons	file
cia	ORG	a-z-cons	file
rockefeller	PERSON	a-z-cons	file
clinton	PERSON	a-z-cons	file
fbi	ORG	a-z-cons	file
fbi	ORG	a-z-cons	file
british	NORP	a-z-cons	file
british	NORP	a-z-cons	file
british	NORP	a-z-cons	file
illuminati	ORG	a-z-cons	file
russian	NORP	a-z-cons	file
jews	NORP	a-z-cons	file
cia	ORG	a-z-cons	file
cia	ORG	a-z-cons	file
cia	ORG	a-z-cons	file
cia	ORG	a-z-cons	file
cubans	NORP	a-z-cons	file
fbi	ORG	a-z-cons	file
cia	ORG	a-z-cons	file
cia	ORG	a-z-cons	file
british	NORP	a-z-cons	file
inslaw	ORG	a-z-cons	file
inslaw	ORG	a-z-cons	file
reagan	PERSON	a-z-cons	file
reagan	PERSON	a-z-cons	file
inslaw	ORG	a-z-cons	file
inslaw	ORG	a-z-cons	file
jews	NORP	a-z-cons	file
clinton	PERSON	a-z-cons	file
clinton	PERSON	a-z-cons	file
japanese	NORP	a-z-cons	file
british	NORP	a-z-cons	file
british	NORP	a-z-cons	file
marconi	PERSON	a-z-cons	file
marconi	PERSON	a-z-cons	file
marconi	PERSON	a-z-cons	file
vatican	GPE	a-z-cons	file
catholic	NORP	a-z-cons	file
yakuza	ORG	a-z-cons	file
japanese	NORP	a-z-cons	file
yakuza	ORG	a-z-cons	file
japanese	NORP	a-z-cons	file
yakuza	ORG	a-z-cons	file
zagreb	GPE	a-z-cons	file
maxwell	PERSON	a-z-cons	file
maxwell	PERSON	a-z-cons	file
zagreb	GPE	a-z-cons	file
maxwell	PERSON	a-z-cons	file
british	NORP	a-z-cons	file
maxwell	PERSON	a-z-cons	file
maxwell	PERSON	a-z-cons	file
maxwell	PERSON	a-z-cons	file
zagreb	GPE	a-z-cons	file
maxwell	PERSON	a-z-cons	file
british	NORP	cncka002	file
new york	GPE	cncka002	file
british	NORP	cncka002	file
sun	LOC	cncka002	file
sun	LOC	cncka002	file
fbi	ORG	cncka002	file
fbi	ORG	cncka003	file
zapruder	PERSON	cncka003	file
fbi	ORG	cncka003	file
mooneyham	LOC	cncka003	file
mooneyham	LOC	cncka003	file
fbi	ORG	cncka003	file
mooneyham	LOC	cncka003	file
mooneyham	LOC	cncka003	file
fbi	ORG	cncka003	file
mooneyham	LOC	cncka003	file
mooney	LOC	cncka003	file
mooney	LOC	cncka003	file
new york	GPE	cncka003	file
new york	GPE	cncka003	file
new york	GPE	cncka003	file
new york	GPE	cncka003	file
new york	GPE	cncka003	file
new york	GPE	cncka003	file
danvers	GPE	cncka003	file
new york	GPE	cncka003	file
new york	GPE	cncka003	file
north avenue	LOC	compse	file
new york	GPE	compse	file
british	NORP	consp	file
vatican	GPE	consp	file
ufo	EVENT	consp	file
ufo	EVENT	consp	file
ufo	EVENT	consp	file
cia	ORG	consp	file
ufo	EVENT	consp	file
tesla	PERSON	consp	file
reagan	PERSON	consp	file
beethoven	PERSON	consp	file
british	NORP	consp	file
moon	LOC	consp	file
fbi	ORG	consp	file
cia	ORG	consp	file
mccarthy	PERSON	consp	file
north	LOC	consp	file
